"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
2213,10000,0,0,0,0,1
2221,10000,0,0,0,0,0
2229,10000,0,0,0,0,1
2236,10000,0,0,0,0,0
2244,10000,0,0,0,0,1
2252,10000,0,0,0,0,0
2259,10000,0,0,0,0,1
2267,10000,0,0,0,0,0
2274,10000,0,0,0,0,1
2282,10000,0,0,0,0,0
2289,10000,0,0,0,0,1
2297,10000,0,0,0,0,0
2305,10000,0,0,0,0,1
2312,10000,0,0,0,0,0
2320,10000,0,0,0,0,1
2327,10000,0,0,0,0,0
2335,10000,0,0,0,0,1
2342,10000,0,0,0,0,0
2349,10000,0,0,0,0,1
2356,10000,0,0,0,0,0
2362,10000,0,0,0,0,1
2368,10000,0,0,0,0,0
2375,10000,0,0,0,0,1
2383,10000,0,0,0,0,0
2390,10000,0,0,0,0,1
2398,10000,0,0,0,0,0
2406,10000,0,0,0,0,1
2413,10000,0,0,0,0,0
2421,10000,0,0,0,0,1
2428,10000,0,0,0,0,0
2435,10000,0,0,0,0,1
2442,10000,0,0,0,0,0
2450,10000,0,0,0,0,1
2457,10000,0,0,0,0,0
2463,10000,0,0,0,0,1
2471,10000,0,0,0,0,0
2479,10000,0,0,0,0,1
2486,10000,0,0,0,0,0
2494,10000,0,0,0,0,1
2501,10000,0,0,0,0,0
2509,10000,0,0,0,0,1
2516,10000,0,0,0,0,0
2522,10000,0,0,0,0,1
2529,10000,0,0,0,0,0
2535,10000,0,0,0,0,1
2542,10000,0,0,0,0,0
2549,10000,0,0,0,0,1
2557,10000,0,0,0,0,0
2565,10000,0,0,0,0,1
2572,10000,0,0,0,0,0
2579,10000,0,0,0,0,1
2586,10000,0,0,0,0,0
2594,10000,0,0,0,0,1
2601,10000,0,0,0,0,0
2608,10000,0,0,0,0,1
2615,10000,0,0,0,0,0
2623,10000,0,0,0,0,1
2630,10000,0,0,0,0,0
2638,10000,0,0,0,0,1
2646,10000,0,0,0,0,0
2653,10000,0,0,0,0,1
2661,10000,0,0,0,0,0
2668,10000,0,0,0,0,1
2676,10000,0,0,0,0,0
2683,10000,0,0,0,0,1
2690,10000,0,0,0,0,0
2696,10000,0,0,0,0,1
2703,10000,0,0,0,0,0
2709,10000,0,0,0,0,1
2716,10000,0,0,0,0,0
2724,10000,0,0,0,0,1
2732,10000,0,0,0,0,0
2739,10000,0,0,0,0,1
2747,10000,0,0,0,0,0
2754,10000,0,0,0,0,1
2762,10000,0,0,0,0,0
2769,10000,0,0,0,0,1
2777,10000,0,0,0,0,0
2784,10000,0,0,0,0,1
2792,10000,0,0,0,0,0
2799,10000,0,0,0,0,1
2807,10000,0,0,0,0,0
2815,10000,0,0,0,0,1
2822,10000,0,0,0,0,0
2830,10000,0,0,0,0,1
2837,10000,0,0,0,0,0
2845,10000,0,0,0,0,1
2852,10000,0,0,0,0,0
2859,10000,0,0,0,0,1
2866,10000,0,0,0,0,0
2872,10000,0,0,0,0,1
2878,10000,0,0,0,0,0
2885,10000,0,0,0,0,1
2893,10000,0,0,0,0,0
2900,10000,0,0,0,0,1
2908,10000,0,0,0,0,0
2916,10000,0,0,0,0,1
2923,10000,0,0,0,0,0
2931,10000,0,0,0,0,1
2938,10000,0,0,0,0,0
2946,10000,0,0,0,0,1
2953,10000,0,0,0,0,0
2961,10000,0,0,0,0,1
2969,10000,0,0,0,0,0
2976,10000,0,0,0,0,1
2984,10000,0,0,0,0,0
2991,10000,0,0,0,0,1
2998,10000,0,0,0,0,0
3005,10000,0,0,0,0,1
3011,10000,0,0,0,0,0
3017,10000,0,0,0,0,1
3024,10000,0,0,0,0,0
3030,10000,0,0,0,0,1
3037,10000,0,0,0,0,0
3043,10000,0,0,0,0,1
3049,10000,0,0,0,0,0
3056,10000,0,0,0,0,1
3063,10000,0,0,0,0,0
3071,10000,0,0,0,0,1
3078,10000,0,0,0,0,0
3085,10000,0,0,0,0,1
3092,10000,0,0,0,0,0
3099,10000,0,0,0,0,1
3106,10000,0,0,0,0,0
3112,10000,0,0,0,0,1
3119,10000,0,0,0,0,0
3127,10000,0,0,0,0,1
3134,10000,0,0,0,0,0
3142,10000,0,0,0,0,1
3149,10000,0,0,0,0,0
3157,10000,0,0,0,0,1
3165,10000,0,0,0,0,0
3172,10000,0,0,0,0,1
3180,10000,0,0,0,0,0
3187,10000,0,0,0,0,1
3195,10000,0,0,0,0,0
3202,10000,0,0,0,0,1
3208,10000,0,0,0,0,0
3214,10000,0,0,0,0,1
3220,10000,0,0,0,0,0
3228,10000,0,0,0,0,1
3235,10000,0,0,0,0,0
3243,10000,0,0,0,0,1
3250,10000,0,0,0,0,0
3258,10000,0,0,0,0,1
3264,10000,0,0,0,0,0
3272,10000,0,0,0,0,1
3280,10000,0,0,0,0,0
3287,10000,0,0,0,0,1
3295,10000,0,0,0,0,0
3302,10000,0,0,0,0,1
3310,10000,0,0,0,0,0
3317,10000,0,0,0,0,1
3325,10000,0,0,0,0,0
3332,10000,0,0,0,0,1
3340,10000,0,0,0,0,0
3347,10000,0,0,0,0,1
3354,10000,0,0,0,0,0
3361,10000,0,0,0,0,1
3368,10000,0,0,0,0,0
3375,10000,0,0,0,0,1
3381,10000,0,0,0,0,0
3388,10000,0,0,0,0,1
3395,10000,0,0,0,0,0
3402,10000,0,0,0,0,1
3408,10000,0,0,0,0,0
3416,10000,0,0,0,0,1
3423,10000,0,0,0,0,0
3431,10000,0,0,0,0,1
3438,10000,0,0,0,0,0
3446,10000,0,0,0,0,1
3454,10000,0,0,0,0,0
3461,10000,0,0,0,0,1
3469,10000,0,0,0,0,0
3476,10000,0,0,0,0,1
3483,10000,0,0,0,0,0
3490,10000,0,0,0,0,1
3498,10000,0,0,0,0,0
3505,10000,0,0,0,0,1
3513,10000,0,0,0,0,0
3521,10000,0,0,0,0,1
3528,10000,0,0,0,0,0
3534,10000,0,0,0,0,1
3541,10000,0,0,0,0,0
3548,10000,0,0,0,0,1
3555,10000,0,0,0,0,0
3562,10000,0,0,0,0,1
3570,10000,0,0,0,0,0
3578,10000,0,0,0,0,1
3585,10000,0,0,0,0,0
3593,10000,0,0,0,0,1
3600,10000,0,0,0,0,0
3608,10000,0,0,0,0,1
3615,10000,0,0,0,0,0
3623,10000,0,0,0,0,1
3630,10000,0,0,0,0,0
3638,10000,0,0,0,0,1
3646,10000,0,0,0,0,0
3653,10000,0,0,0,0,1
3661,10000,0,0,0,0,0
3668,10000,0,0,0,0,1
3676,10000,0,0,0,0,0
3683,10000,0,0,0,0,1
3691,10000,0,0,0,0,0
3698,10000,0,0,0,0,1
3705,10000,0,0,0,0,0
3711,10000,0,0,0,0,1
3717,10000,0,0,0,0,0
3724,10000,0,0,0,0,1
3732,10000,0,0,0,0,0
3738,10000,0,0,0,0,1
3745,10000,0,0,0,0,0
3753,10000,0,0,0,0,1
3761,10000,0,0,0,0,0
3768,10000,0,0,0,0,1
3776,10000,0,0,0,0,0
3783,10000,0,0,0,0,1
3791,10000,0,0,0,0,0
3799,10000,0,0,0,0,1
3806,10000,0,0,0,0,0
3814,10000,0,0,0,0,1
3821,10000,0,0,0,0,0
3829,10000,0,0,0,0,1
3836,10000,0,0,0,0,0
3844,10000,0,0,0,0,1
3851,10000,0,0,0,0,0
3859,10000,0,0,0,0,1
3866,10000,0,0,0,0,0
3872,10000,0,0,0,0,1
3879,10000,0,0,0,0,0
3885,10000,0,0,0,0,1
3892,10000,0,0,0,0,0
3899,10000,0,0,0,0,1
3907,10000,0,0,0,0,0
3913,10000,0,0,0,0,1
3921,10000,0,0,0,0,0
3928,10000,0,0,0,0,1
3935,10000,0,0,0,0,0
3943,10000,0,0,0,0,1
3949,10000,0,0,0,0,0
3956,10000,0,0,0,0,1
3964,10000,0,0,0,0,0
3971,10000,0,0,0,0,1
3979,10000,0,0,0,0,0
3987,10000,0,0,0,0,1
3994,10000,0,0,0,0,0
4002,10000,0,0,0,0,1
4009,10000,0,0,0,0,0
4017,10000,0,0,0,0,1
4025,10000,0,0,0,0,0
4032,10000,0,0,0,0,1
4039,10000,0,0,0,0,0
4045,10000,0,0,0,0,1
4052,10000,0,0,0,0,0
4059,10000,0,0,0,0,1
4066,10000,0,0,0,0,0
4074,10000,0,0,0,0,1
4081,10000,0,0,0,0,0
4087,10000,0,0,0,0,1
4093,10000,0,0,0,0,0
4096,10000,0,0,0,0,0
